# time_flux P1 P2 Z PO4 Psupply
3.180000000000000071e+01 2.594318840172287755e-01 3.086813399461231233e-01 4.743310354983654165e-01 2.596017972752290848e-01 5.000000000000000278e-02
3.190000000000000213e+01 2.588658296648107537e-01 3.089986109137404235e-01 4.735571418125659182e-01 2.598633474668494148e-01 5.000000000000000278e-02
3.200000000000000000e+01 2.588658296648107537e-01 3.089986109137404235e-01 4.735571418125659182e-01 2.598633474668494148e-01 5.000000000000000278e-02
3.210000000000000142e+01 2.583231019282524188e-01 3.093230128080562413e-01 4.727759303013390202e-01 2.601155562430197410e-01 5.000000000000000278e-02
3.220000000000000284e+01 2.583231019282524188e-01 3.093230128080562413e-01 4.727759303013390202e-01 2.601155562430197410e-01 5.000000000000000278e-02
3.230000000000000426e+01 2.578034317455104030e-01 3.096543459323675140e-01 4.719878996062601417e-01 2.603584017352398305e-01 5.000000000000000278e-02
3.239999999999999858e+01 2.578034317455104030e-01 3.096543459323675140e-01 4.719878996062601417e-01 2.603584017352398305e-01 5.000000000000000278e-02
3.250000000000000000e+01 2.573065470590387149e-01 3.099924093762377875e-01 4.711935394128725640e-01 2.605918688470670319e-01 5.000000000000000278e-02
3.260000000000000142e+01 2.573065470590387149e-01 3.099924093762377875e-01 4.711935394128725640e-01 2.605918688470670319e-01 5.000000000000000278e-02
3.270000000000000284e+01 2.568321730994758134e-01 3.103370011302449272e-01 4.703933303866177917e-01 2.608159490958145699e-01 5.000000000000000278e-02
3.280000000000000426e+01 2.568321730994758134e-01 3.103370011302449272e-01 4.703933303866177917e-01 2.608159490958145699e-01 5.000000000000000278e-02
3.289999999999999858e+01 2.563800326536065932e-01 3.106879181990176986e-01 4.695877441215751125e-01 2.610306404572901862e-01 5.000000000000000278e-02
3.300000000000000000e+01 2.563800326536065932e-01 3.106879181990176986e-01 4.695877441215751125e-01 2.610306404572901862e-01 5.000000000000000278e-02
3.310000000000000142e+01 2.559498463173710547e-01 3.110449567126994941e-01 4.687772431013581542e-01 2.612359472131883797e-01 5.000000000000000278e-02
